Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
"Greylock, Mount",north america,united states,walk up,3491,1064,42.6376,-73.1662,pittsfield airport,
Griffin Mountain,north america,united states,walk up,5283,1610,46.655328,-121.979957,seattle,
Grigna Meridionale,europe,italy,walk up,7142,2177,46,9.36667,milan and bergamo,
Grigna settentrionale,europe,italy,walk up,7907,2410,45.953333,9.3875,malpensa (milan),
Grindstone Mountain,north america,united states,scramble,7533,2296,47.636651,-120.913339,seattle,
"Grinnell, Mount",north america,united states,scramble,8851,2698,48.776944,-113.726111,"kalispell, mt",
Grisedale Pike,europe,united kingdom,walk up,2595,791,54.590519,-3.24273,"manchester, liverpool",
Grivola,europe,italy,scramble,13022,3969,45.595798,7.257581,turin,1859
Grizzly Peak,north america,united states,walk up,5920,1804,42.269592,-122.616606,"medford, or",
Grnegghorn,europe,switzerland,basic snow/ice climb,12664,3860,,,nan,
Groot Wellington Sneeukop,africa,south africa,scramble,5587,1703,,,cape town international,
Groot-winterhoek Peak,africa,south africa,scramble,6818,2078,,,cape town international,
Gropsoarele,europe,romania,walk up,6178,1883,,,bucharest,
Gros Morne,north america,canada,walk up,2648,807,49.5833,-57.7833,deer lake,
Groser Moseler,europe,austria,basic snow/ice climb,11417,3480,,,innsbruck,
Gross Fiescherhorn,europe,switzerland,basic snow/ice climb,13284,4049,46.551187,8.061304,"bern, switzerland",1862
Gross Furkahorn,europe,switzerland,technical climb,10397,3169,46.596583,8.41025,zurich or geneva,1896
Gross Muttenhorn,europe,switzerland,scramble,10167,3099,46.546528,8.427222,zurich or geneva,1864
Gross Walenstock,europe,switzerland,scramble,8438,2572,46.85708,8.41959,zürich,
Gross-Grünhorn,europe,switzerland,basic snow/ice climb,13268,4044,46.531705,8.077784,nan,
Grosse Fermeda,europe,italy,technical climb,9426,2873,,,innsbruck,1887
Grosser Bettelwurf,europe,austria,walk up,8940,2725,47.35,11.5167,innsbruck,1855
Grosser Diamantstock,europe,switzerland,scramble,10374,3162,46.592417,8.243278,zurich or geneva,1890
Grosser Inselsberg,europe,germany,walk up,9165,2793,50.85111,10.46583,nan,
Grosser Kinigat,europe,austria,walk up,8822,2689,,,bozen/bolzano,
Grosser Krottenkopf,europe,austria,scramble,8714,2656,47.312439,10.355515,"memmingen, insbruck",1864
Grosser Priel,europe,austria,walk up,8251,2515,47.716944,14.063333,linz,1817
Grosses Tragl,europe,austria,walk up,7149,2179,47.616667,14.033333,linz,
Grosses Wiesbachhorn,europe,austria,scramble,11693,3564,47.156893,12.755256,salzburg,
Grossglockner,europe,austria,basic snow/ice climb,12461,3798,47.0667,12.7,"innsbruck or salzburg, austria",1800
Grosslitzner,europe,austria,technical climb,10200,3109,46.886361,10.0385,zurich,
Grossvenediger,europe,austria,basic snow/ice climb,12054,3674,47.1,12.35,"innsbruck or salzburg, austria",1841
Grotto Mountain,north america,canada,scramble,8878,2706,51.0833,-115.267,calgary,
Großer Bruder,europe,austria,walk up,6151,1864,47.631966,12.786884,salzburg,
Großer Rettenstein,europe,austria,nan,7749,2362,47.19,12.17,salzburg,
Groþer Moosstock,europe,italy,scramble,10036,3059,,,insnbruck or bozen / bolzano,
Grytfoten,europe,norway,nan,3343,1019,65.4466,12.0225,"sandnessjøen lufthavn, stokka",
Gráfelli,europe,faroe islands,walk up,2808,856,62.311109,-6.99867,tórshavn,
"Grépon, Aiguille Du",europe,france,technical climb,11424,3482,,,gen?e,1881
Grünstein,europe,germany,walk up,4277,1304,47.588336,12.958031,salzburg,
Grünten,europe,germany,nan,5702,1738,47.556604,10.319595,memmingen,
Gschnitzer Tribulaun,europe,austria,scramble,9665,2946,,,innsbruck,1872
Gspaltenhorn,europe,switzerland,technical climb,11273,3436,46.511389,7.827778,zurich or geneva,1869
Guadalupe Peak,north america,united states,walk up,8749,2667,31.8833,-104.867,"el paso, texas",
Guagua Pichincha,south america,ecuador,walk up,15695,4784,-0.177068,-78.598766,quito,
Guajara,europe,spain,walk up,8907,2715,28.21661,-16.61154,tenerife south,
Guallatiri (volcàn),south america,chile,basic snow/ice climb,19888,6063,-18.416397,-69.083448,arica,
Guane Guane,south america,chile,walk up,16719,5096,-18.123309,-69.375959,arica,
"Guera, Mount or Pic du Guerra",africa,chad,walk up,4750,1447,11.9167,18.2,ndjamena,
Guffert,europe,austria,walk up,7201,2195,47.546944,11.789167,innsbruck,
"Guinsayawan, Mount",asia,philippines,scramble,5866,1788,9.338494,123.148764,dumaguete airport,
"Guiting-guiting, Mt",asia,philippines,nan,6380,2058,12.4134,122.568,tablas island airport,1982
Gumatchi,europe,russia,basic snow/ice climb,12500,3810,,,mineralje vody,1937
Gumburanjo,asia,india,scramble,17388,5300,32.961686,77.257097,nan,
Gun,europe,united kingdom,walk up,1257,383,,,manchester,
Gun Hill,europe,united kingdom,walk up,1224,373,53.150556,-2.046389,manchester,
Gunn Peak,north america,united states,scramble,6245,1903,47.816094,-121.448064,seattle-tacoma,1915
Gunnbjorns Fjeld,north america,greenland,basic snow/ice climb,12116,3693,68.9155,-29.7956,nan,
Gunsight Mountain,north america,united states,scramble,9258,2822,48.614754,-113.76832,"great falls, mt",1905
Gunung Agung,asia,indonesia,walk up,10000,3048,-8.35,115.5,"ngurah rai international airport, denpasar, bali",
Gunung Angsi,asia,malaysia,walk up,2707,825,2.75,102.167,klia,
Gunung Api,asia,malaysia,scramble,5741,1750,,,mulu,
Gunung Chamah,asia,malaysia,technical climb,7123,2171,5.134334,101.342441,penang,
Gunung Ciremai,asia,indonesia,walk up,10072,3070,-6.91667,108.4,ckg jakarta international airport,
Gunung Datuk,asia,malaysia,walk up,2900,884,,,kuala lumpur international airport (klia),
Gunung Gayong,asia,malaysia,scramble,7129,2173,4.760776,101.37351,klia,
Gunung Korbu,asia,malaysia,scramble,7162,2183,4.68333,101.3,kuala lumpur international airport,
Gunung Ledang,asia,malaysia,walk up,4186,1276,2.33333,102.667,klia,
Gunung Merapi,asia,indonesia,walk up,9550,2911,-7.55,110.433,"yogyakarta, java",
Gunung Merbabu,asia,indonesia,walk up,10315,3144,-7.455,110.44,"adisutjipto, adisumarmo",
Gunung Mulu,asia,malaysia,walk up,7795,2376,4.045377,114.928678,mulu,1974
Gunung Nuang,asia,malaysia,walk up,4898,1493,3.25, ,klia,
Gunung Parang,asia,indonesia,technical climb,3159,963,-6.601492,107.337912,cengkareng - jakarta,1980
Gunung Rinjani,asia,indonesia,walk up,12224,3726,-8.43333,116.467,"mataram, lombok",
Gunung Santubong,asia,malaysia,walk up,2658,810,1.7333,110.333,kuching,
Gunung Sinabung,asia,indonesia,walk up,8041,2451,3.16667,98.4,medan,
Gunung Tahan,asia,malaysia,walk up,7175,2187,4.6325,102.234167,kuala lumpur,
Gunung Yong Belar,asia,malaysia,scramble,7156,2181,4.743413,101.340637,klia,
Gunung Yong Yap,asia,malaysia,walk up,7113,2168,,,ipoh,
"Guougang, Mount",australia/oceania,australia,scramble,4236,1291,,,"kingsford smith, sydney",
Gurla Mandata,asia,china,major mountain expedition,25242,7694,30.4333,81.2833,nan,1985
Gurla Mandhata,asia,china,major mountain expedition,25242,7694,30.2833,81.2833,"lhasa (tibet), kathmandu(nepal)",1985
Guslarspitzen,europe,austria,scramble,10325,3147,46.8617,10.8333,innsbruck,1848
Gusty Peak,north america,canada,scramble,9843,3000,50.83,-115.263,calgary international airport,1972
Guye Peak,north america,united states,scramble,5168,1575,47.442021,-121.408796,seattle-tacoma international,1891
"Guyot, Mount",north america,united states,walk up,12300,3749,36.5089,-118.362,nan,
"Guyot, Mt",north america,united states,walk up,6621,2018,35.705,-83.2575,"mcghee-tyson, knoxville, tn or asheville (avl)",1821
Gwächtenhorn,europe,switzerland,nan,10381,3164,46.60346,8.092632,"bern, switzerland",
Gyachung Kang,asia,nepal,major mountain expedition,26089,7952,28.1,86.75,"kathmandu, nepal",1964
Göll,europe,austria,scramble,8277,2523,47.594183,13.066864,salzburg,1801
"Güngörmez, Mount",asia,turkey,scramble,11614,3540,39.6667,36.7833,trabzon,2003
Ha Ling Peak,north america,canada,scramble,7897,2407,51.0333,-115.433,calgary international,
"Haast, Mount",australia/oceania,new zealand,basic snow/ice climb,10302,3140,-43.559881,170.178152,christchurch,1907
Haba Xue Shan,asia,china,basic snow/ice climb,17703,5396,27.3394,100.191,lijiang (yunnan china),
Habel,north america,canada,basic snow/ice climb,10082,3073,51.65062,-116.571121,calgary,1923
Habicht,europe,austria,scramble,10728,3270,47.043657,11.289379,insbruck,
Haddo Peak,north america,canada,technical climb,10072,3070,51.382067,-116.236296,calgary,1903
Hadur Shuayb,asia,yemen,nan,12336,3760,,,"sana'a, yemen",
"Haeckel, Mount",north america,united states,scramble,13435,4095,37.1503,-118.661,nan,1920
Hafner,europe,austria,scramble,10092,3076,,,salzburg,
Haft_tanan,asia,iran,basic snow/ice climb,13182,4018,,,arak,
"Hagen, Mt",australia/oceania,papua new guinea,walk up,12434,3790,-5.66667,144,kagamuga (mt.hagen),
"Haggin, Mount",north america,united states,walk up,10610,3234,46.0872,-113.096,"butte, montana",
"Haidinger, Mount",australia/oceania,,basic snow/ice climb,10065,3068,,,christchurch,1897
Haiduta,europe,bulgaria,scramble,8087,2465,,,sofia,
"Halcon, Mount",asia,philippines,major mountain expedition,8484,2586,13.2625,120.995,naia int'l airport,1906
"Hale, Mt",north america,united states,walk up,4055,1236,44.222971,-71.512582,nan,
Haleakala,north america,united states,walk up,11500,3505,20.7047,-156.177,kahului,
Half Dome,north america,united states,scramble,8842,2695,37.7461,-119.532,"oakland, california, reno, nevada",1875
Half Moon,north america,united states,technical climb,7960,2426,48.509867,-120.613489,seattle-tacoma,1942
Half Nelson,north america,united states,walk up,7146,2178,46.818505,-121.232758,seattle,
Hall Peak,north america,united states,scramble,5484,1672,48.059871,-121.540515,seattle-tacoma,1927
Hallasan,asia,"korea, south",nan,6398,1950,33.361667,126.529167,jeju airport,
Hallet Peak,north america,united states,walk up,12713,3875,,,"denver, co",1800
Halti,europe,finland,walk up,4357,1328,69.322633,21.279947,enontekiö,
"Hamell, Mount",north america,canada,scramble,6986,2129,,,grande prairie,
Hamerslei,australia/oceania,australia,nan,4052,1235,,,-----,1204
"Hamilton, Mount",north america,united states,walk up,4209,1283,37.35,-121.633,san jose,1861
Hammerspitze,europe,austria,walk up,8409,2563,47.333333,10.2,innsbruck,
Hamperokken,europe,norway,scramble,4606,1404,69.566594,19.343509,bodo,
Hamugnaw Peak,asia,philippines,walk up,755,230,11.042576,122.706349,new iloilo airport,
Handies Peak,north america,united states,walk up,14048,4282,37.9131,-107.504,gunnison or durango,1874
Hangerer,europe,austria,walk up,9908,3020,46.835301,11.018085,munchen,
Hannegan Peak,north america,united states,walk up,6187,1886,48.892148,-121.534367,seattle-tacoma,1893
Hannibal Turm,europe,switzerland,technical climb,9455,2882,46.603281,8.415589,"berna, lugano",1995
"Hanuman Tibba, Mount",asia,india,nan,19633,5984,,,kullu,
Happo One and Karamatsu Dake,asia,japan,walk up,8845,2696,36.6904,137.774,"narita international, kansai international",
Haramosh Kutwal Galli,asia,pakistan,major mountain expedition,24291,4800,35.7167,74.1667,islamabad,1958
Haramosh Peak,asia,pakistan,walk up,24308,7409,35.840221,74.89749,gilgit northern areas pakistan,1958
Hardscrabble Peak,north america,united states,walk up,9575,2918,45.914334,-110.982007,"bozeman, mt",
"Hardy, Mount",north america,united states,scramble,8080,2463,48.581888,-120.755324,seattle -tacoma,1933
Harmukh,asia,india,basic snow/ice climb,16890,5148,33.7833,76.0167,srinagar,
Harney Peak,north america,united states,walk up,7242,2207,43.8667,-103.533,rapid city,
Harrison Stickle,europe,united kingdom,walk up,2403,736,54.457294,-3.109955,manchester,
Hart Crag,europe,united kingdom,walk up,2698,822,54.492527,-2.975836,"manchester, liverpool",
Hart Mountain,north america,united states,scramble,7724,2354,42.402164,-119.783936,"medford, or",
Harter Fell,europe,united kingdom,walk up,2552,778,54.476222,-2.835503,"manchester, liverpool",
"Harvard, Mount",north america,united states,walk up,14420,4390,38.9244,-106.32,"denver, colorado",1869
Hasan dag,asia,turkey,scramble,10722,3268,38.126995,34.164734,konya,
Hasandag,asia,turkey,walk up,10722,3268,38.1333,34.1667,ankara,
Hasenfluh,europe,austria,scramble,8314,2534,47.881192,10.148583,zurich,
Hatch,north america,united states,walk up,4811,1466,61.760658,-149.311495,anchorage,
Hati Khollu,south america,bolivia,technical climb,17785,5421,-16.431907,-67.941159,aeropuerto internacional de el alto - la paz,
Haut de Cry,europe,switzerland,technical climb,9741,2969,46.24,7.19,geneva,
Hawk Mountain,north america,united states,walk up,1533,467,40.6456,-75.9803,reading,
Hawkeye Point,north america,united states,walk up,1670,509,43.460154,-95.708891,nan,
"Hawkins, Mount",north america,united states,walk up,8850,2697,34.341133,-117.805624,los angeles,
Hawksbill,north america,united states,walk up,4091,1247,,,dulles international,
Hay Point,north america,united states,basic snow/ice climb,13008,3965,,,dia,1999
Hayden Peak,north america,united states,scramble,13561,4133,39.05,-106.85,denver,
"Hayes, Mount",north america,united states,basic snow/ice climb,13832,4216,63.62,-146.716,"fairbanks, alaska",1941
Haystack,north america,united states,scramble,4960,1512,44.1056,-73.9008,lake placid,
Haytor,europe,united kingdom,walk up,1499,457,50.589231,-3.748569,exeter,
Heart Mountain,north america,canada,scramble,7005,2135,51.037994,-115.132771,calgary international,
Heavens Peak,north america,united states,scramble,8987,2739,48.708182,-113.856468,"great falls, mt",1924
Heavy Runner,north america,united states,technical climb,8016,2443,48.676794,-113.695192,"great falls, mt",
"Hector, Mount",north america,canada,technical climb,11135,3394,51.575576,-116.258526,calgary,
Hekla,europe,iceland,walk up,4892,1491,64.0167,-19.65,"reykjavik, iceland",
Helags,europe,sweden,nan,5896,1797,62.904926,12.44794,ostersund,
"Helen, Mount",north america,united states,basic snow/ice climb,13620,4151,39.4286,-106.087,"salt lake city, jackson hole",1924
"Helen, Mt",north america,united states,scramble,8538,2602,48.474543,-113.466605,kalispell,
Helmos,europe,greece,walk up,7726,2355,37.973889,22.206944,athens,
Helvellyn,europe,united kingdom,walk up,3117,950,54.527,-3.01752,manchester / leeds & bradford,1806
Helvetestinden,europe,norway,walk up,1988,606,67.981279,12.981367,bodo,
Henery Peak,north america,united states,walk up,9334,2845,38.4833,-119.867,reno,
Henry Mountain,north america,united states,scramble,13254,4040,38.6833,-106.617,gunnison airport,
"Heram, Mount",asia,iran,scramble,15256,4650,,,ardabil air port,1966
Hergest Ridge,europe,united kingdom,walk up,1398,426,52.2054,-3.0814,nan,
Hermansdaltinden,europe,norway,nan,3392,1034,,,nan,
"Hermon, Mount",asia,lebanon,walk up,9232,2814,33.4106,35.8572,"beirut, lebanon",
Herðubreið,europe,iceland,nan,5518,1682,65.18,16.34,akureyri,1908
Hesperus,north america,united states,technical climb,9828,2996,61.801688,-154.142303,anchorage,1985
Hestbrepiggane,europe,norway,basic snow/ice climb,7077,2157,,,oslo,
Heubatspitze,europe,germany,nan,6588,2008,47.465526,10.382938,memmingen,
Heukuppe,europe,austria,walk up,6585,2007,47.689081,15.688777,"vienna, austria",
Hexenkopf,europe,austria,walk up,9957,3035,47.021111,10.468889,innsbruck,
"Heyburn, Mount",north america,united states,technical climb,10229,3118,44.1011,-114.975,boise,1935
Hicks,australia/oceania,new zealand,nan,10443,3183,,,nan,
Hidden Lake Peaks,north america,united states,scramble,7088,2160,48.5006,-121.1978,seattle-tacoma,
Hidden Peak,asia,pakistan,major mountain expedition,26471,8068,,,rawalpindi,1958
"Higgins East, Mount",north america,united states,technical climb,5142,1567,48.31494,-121.762247,seattle,
High Hut Lookout,north america,united states,walk up,4743,1446,46.69661,-122.02579,seattle,
High Point,north america,united states,walk up,1803,550,41.320948,-74.661562,nan,
High Stile,europe,united kingdom,nan,2648,807,54.520683,-3.285599,manchester,
High Street,europe,united kingdom,walk up,2718,828,54.489785,-2.863655,"manchester, liverpool",
High Willhays,europe,united kingdom,walk up,2037,621,50.685,-4.01,exeter,
Highis,europe,romania,walk up,2625,800,46.207756,21.809172,arad,
Hilda Peak,north america,canada,scramble,10039,3060,52.191088,-117.177086,calgary,
Hilltop,north america,united states,walk up,894,272,61.141229,-149.74317,anchorage,
Himmelbjerget,europe,denmark,walk up,584,178,56.105278,9.685,billund,1548
Hinderi Spillgerte,europe,switzerland,technical climb,8123,2476,46.5333,7.43333,bern,1877
Hinkhouse Peak,north america,united states,walk up,7560,2304,48.5374,-120.656,seattle,1925
"Hinman, Mount",north america,united states,scramble,7492,2284,47.5681,-121.212029,seattle-tacoma,
